2018-09-20 18:16:44.970 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [ntlm.auth.enabled, ntlm.auth.domain.controller.name, ntlm.auth.domain, ntlm.auth.domain.controller, ntlm.auth.service.account, ntlm.auth.service.password, ntlm.auth.negotiate.flags] for company 20099
2018-09-20 18:16:44.974 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 8 ms
2018-09-20 18:16:44.974 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.ntlm.internal.verify.NtlmCompanySettingsVerifyProcess in 9ms
2018-09-20 18:16:44.987 INFO  [main][VerifyProcess:66] Verifying com.liferay.exportimport.internal.verify.system.event.SystemEventVerifyProcess
2018-09-20 18:16:45.017 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.exportimport.internal.verify.system.event.SystemEventVerifyProcess in 30ms
2018-09-20 18:16:45.027 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.ldap.internal.verify.LDAPPropertiesVerifyProcess
2018-09-20 18:16:45.028 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.security.ldap.internal.verify.LDAPPropertiesVerifyProcess#verifyLDAPProperties
2018-09-20 18:16:45.030 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.security.ldap.internal.verify.LDAPPropertiesVerifyProcess#verifyLDAPProperties in 2 ms
2018-09-20 18:16:45.030 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.ldap.internal.verify.LDAPPropertiesVerifyProcess in 3ms
2018-09-20 18:16:49.245 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing porygon-theme.war
2018-09-20 18:16:49.248 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing westeros-bank-theme.war
2018-09-20 18:16:49.248 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing social-bookmarks-hook-7.1.0.3.war
2018-09-20 18:16:49.249 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing admin-theme.war
2018-09-20 18:16:49.249 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing fjord-theme.war
2018-09-20 18:16:49.250 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing tasks-portlet-7.1.0.8.war
2018-09-20 18:16:49.250 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing opensocial-portlet-7.1.0.11.war
2018-09-20 18:16:49.251 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:261] Processing powwow-portlet-7.1.0.11.war
2018-09-20 18:16:51.587 INFO  [main][VerifyProcess:66] Verifying com.liferay.mobile.device.rules.internal.verify.MDRServiceVerifyProcess
